On_site_interaction,Chemical_Potential,N_eletrons
0.0,-3.552713678800501e-15,6.0
1.0,8.881784197001252e-16,6.0
1.5,-8.881784197001252e-16,6.0
2.0,1.7763568394002505e-15,6.0
2.5,4.440892098500626e-15,6.0
3.0,-5.329070518200751e-15,6.0
3.5,-8.881784197001252e-16,6.0
4.0,1.7763568394002505e-15,6.0
5.0,3.552713678800501e-15,6.0
10.0,1.0658141036401503e-14,6.0
12.0,-3.552713678800501e-15,6.0
14.0,-1.7763568394002505e-14,6.0
16.0,0.0,6.0
18.0,-3.552713678800501e-15,6.0
20.0,1.7408297026122455e-13,6.0
30.0,-2.9043789595561975e-9,6.0
40.0,-2.74632004391151e-5,6.0
50.0,0.020505827755592065,6.0
